region_name,brand_name,buy_price,sell_price,spread,capture_timestamp
Hải Dương,Bảo Tín Mạnh Hải,151500,152900,1400,2025-11-25 10:44:30
Bến Tre,Mi Hồng,151000,152900,1900,2025-11-25 10:44:30
Tiền Giang,Mi Hồng,151000,152900,1900,2025-11-25 10:44:30
Mỹ Tho,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:44:30
Vĩnh Long,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:44:30
Long Xuyên,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:44:30
Cần Thơ,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:44:30
Sa Đéc,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:44:30
Trà Vinh,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:44:30
Tân An,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:44:30
Cập nhật lúc 17:40:23 25/11/2025 https://giavang.org/,Cập nhật lúc 17:40:23 25/11/2025 https://giavang.org/,17402325112025,17402325112025,0,2025-11-25 10:44:30
TP. Hồ Chí Minh,SJC,150900,152900,2000,2025-11-25 10:49:29
TP. Hồ Chí Minh,PNJ,150900,152900,2000,2025-11-25 10:49:29
TP. Hồ Chí Minh,DOJI,150900,152900,2000,2025-11-25 10:49:29
TP. Hồ Chí Minh,Mi Hồng,151000,152900,1900,2025-11-25 10:49:29
TP. Hồ Chí Minh,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:49:29
Miền Bắc,SJC,150900,152900,2000,2025-11-25 10:49:29
Hạ Long,SJC,150900,152900,2000,2025-11-25 10:49:29
Hải Phòng,SJC,150900,152900,2000,2025-11-25 10:49:29
Miền Trung,SJC,150900,152900,2000,2025-11-25 10:49:29
Huế,SJC,150900,152900,2000,2025-11-25 10:49:29
Quảng Ngãi,SJC,150900,152900,2000,2025-11-25 10:49:29
Nha Trang,SJC,150900,152900,2000,2025-11-25 10:49:29
Biên Hòa,SJC,150900,152900,2000,2025-11-25 10:49:29
Miền Tây,SJC,150900,152900,2000,2025-11-25 10:49:29
Miền Tây,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:49:29
Bạc Liêu,SJC,150900,152900,2000,2025-11-25 10:49:29
Cà Mau,SJC,150900,152900,2000,2025-11-25 10:49:29
Hà Nội,PNJ,150900,152900,2000,2025-11-25 10:49:29
Hà Nội,DOJI,150900,152900,2000,2025-11-25 10:49:29
Hà Nội,Bảo Tín Minh Châu,151400,152900,1500,2025-11-25 10:49:29
Hà Nội,Bảo Tín Mạnh Hải,151500,152900,1400,2025-11-25 10:49:29
Hà Nội,Phú Quý,150400,152900,2500,2025-11-25 10:49:29
Đà Nẵng,PNJ,150900,152900,2000,2025-11-25 10:49:29
Đà Nẵng,DOJI,150900,152900,2000,2025-11-25 10:49:29
Miền Tây,PNJ,150900,152900,2000,2025-11-25 10:49:29
Tây Nguyên,PNJ,150900,152900,2000,2025-11-25 10:49:29
Đông Nam Bộ,PNJ,150900,152900,2000,2025-11-25 10:49:29
Đông Nam Bộ,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:49:29
Bắc Ninh,Bảo Tín Mạnh Hải,151500,152900,1400,2025-11-25 10:49:29
Hải Dương,Bảo Tín Mạnh Hải,151500,152900,1400,2025-11-25 10:49:29
Bến Tre,Mi Hồng,151000,152900,1900,2025-11-25 10:49:29
Tiền Giang,Mi Hồng,151000,152900,1900,2025-11-25 10:49:29
Mỹ Tho,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:49:29
Vĩnh Long,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:49:29
Long Xuyên,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:49:29
Cần Thơ,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:49:29
Sa Đéc,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:49:29
Trà Vinh,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:49:29
Tân An,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:49:29
Cập nhật lúc 17:45:22 25/11/2025 https://giavang.org/,Cập nhật lúc 17:45:22 25/11/2025 https://giavang.org/,17452225112025,17452225112025,0,2025-11-25 10:49:29
TP. Hồ Chí Minh,SJC,150900,152900,2000,2025-11-25 10:53:25
TP. Hồ Chí Minh,PNJ,150900,152900,2000,2025-11-25 10:53:25
TP. Hồ Chí Minh,DOJI,150900,152900,2000,2025-11-25 10:53:25
TP. Hồ Chí Minh,Mi Hồng,151000,152900,1900,2025-11-25 10:53:25
TP. Hồ Chí Minh,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:53:25
Miền Bắc,SJC,150900,152900,2000,2025-11-25 10:53:25
